5005,-868,876,-244,-408,-88,380,605,79,837,
5025,-900,612,-184,-356,-140,224,609,95,815,
5045,-1180,464,-408,-360,-316,-64,618,79,827,
5065,-228,536,-252,-248,-256,-348,617,97,792,
5085,420,704,-152,-104,-204,-376,617,82,821,
5105,108,444,36,0,-216,-228,600,88,812,
5125,-376,84,508,-80,-352,-152,609,87,793,
5145,-948,692,368,-36,-260,-252,597,71,778,
5165,-964,960,140,32,-80,-388,601,98,808,
5185,144,140,228,24,-12,-396,607,93,792,
5205,828,-584,352,-4,-64,-248,602,80,810,
5225,604,-432,404,-4,-136,-68,626,122,774,
5245,-280,300,380,16,-108,72,617,97,745,
5265,-632,524,244,112,4,144,607,116,848,
5285,-436,224,204,164,100,200,602,103,805,
5305,140,-444,96,156,156,260,618,104,795,
5325,540,-648,88,88,168,316,611,111,784,
5345,892,-1304,136,-32,148,356,604,111,778,
5365,524,-1288,44,-164,20,432,604,109,790,
5385,-84,-416,60,-296,-60,476,608,83,815,
5405,-440,588,-88,-332,-84,432,601,103,812,
5425,-584,428,-112,-332,-64,320,592,55,804,
5445,-276,24,-232,-316,-44,232,604,77,818,
5465,-152,160,-444,-304,-80,176,603,95,786,
5485,-548,584,-580,-248,-132,68,597,76,760,
5505,-600,844,-668,-116,-48,-56,598,52,807,
5525,-140,536,-264,0,40,-88,603,78,810,
5545,-80,420,-72,-4,20,-124,610,80,769,
5565,-488,760,-208,0,-28,-192,607,76,799,
5585,-284,884,-172,160,76,-276,615,81,820,
5605,232,140,-116,376,180,-260,619,65,810,
5625,396,-380,-84,536,292,-80,598,73,792,
5645,400,-352,144,520,300,20,604,72,807,
5665,676,-596,572,516,308,40,581,90,824,
5685,1024,-244,712,612,368,108,610,92,817,
5705,1232,304,860,620,420,180,617,79,826,
5725,744,40,896,592,356,168,619,92,821,
5745,596,-112,696,568,300,148,613,74,815,
5765,616,188,332,672,248,168,603,85,862,
5785,388,-228,-1108,772,196,192,618,84,805,
5805,-1740,-3932,-1064,148,512,260,616,68,836,
5825,1084,-1404,444,112,260,316,586,93,822,
5845,-400,-68,-884,-100,128,420,621,80,814,
5865,-640,484,-1016,-148,96,216,609,75,843,
5885,-1268,-140,-340,-240,28,36,581,95,821,
5905,-544,-556,-368,-284,52,-52,620,80,845,
