timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
10803,-172,432,-24,396,160,-136,583,119,667,
10823,-176,784,-204,636,204,-72,600,124,675,
10843,-272,812,-196,944,208,40,600,130,688,
10863,-288,616,-176,1268,136,180,602,137,689,
10883,-464,188,240,1552,36,344,610,132,678,
10903,-732,-192,564,1832,20,520,610,132,678,
10923,-660,-508,504,2184,244,680,598,100,682,
10943,-612,-780,456,2200,312,732,589,107,696,
10963,-140,-992,16,2088,328,772,604,89,686,
10983,680,-1204,-124,1888,224,720,614,65,676,
11003,680,-1204,140,1612,212,560,584,58,667,
11023,324,-724,80,1364,320,416,579,64,700,
11043,104,-280,36,1172,364,316,598,50,718,
11063,72,-216,28,984,400,208,604,51,677,
11083,-28,-40,40,856,400,116,625,76,695,
11103,-300,412,-244,800,408,44,593,44,735,
11123,-348,728,-460,900,364,64,581,40,720,
11143,-44,720,-344,1160,280,188,594,26,703,
11163,348,384,-116,1412,276,324,614,58,722,
11183,476,-16,-28,1560,292,468,584,22,716,
11203,160,52,-92,1656,308,568,589,34,735,
11223,-116,292,-248,1684,308,588,587,33,731,
11243,92,364,-100,1764,196,552,578,23,732,
11263,-16,52,236,1828,40,536,566,14,714,
11283,-36,-76,400,1920,-4,556,561,22,762,
11303,-60,-100,412,1928,4,544,584,32,767,
11323,-364,72,388,1924,28,496,583,-1,754,
11343,-396,148,300,1880,72,448,587,-12,795,
11363,-116,12,180,1876,104,396,588,-26,774,
11383,104,-200,308,1824,108,360,587,-17,793,
11403,176,-316,248,1712,144,260,586,-9,783,
11423,300,-412,196,1584,52,208,562,-21,803,
11443,280,-376,204,1372,-104,212,576,-6,800,
11463,164,-164,268,1196,-220,188,569,-23,824,
11483,-500,-792,-36,1056,-256,168,567,-36,803,
11503,-1488,-2004,-380,896,-72,216,584,2,824,
11523,-932,-1132,-520,804,-88,276,575,-10,797,
11543,148,784,-248,720,-152,216,548,-32,817,
